hHostNameFinal,hHostNameIUCN,hHostNameIUCN_spatial,hHostNameST,hFamily,Synonyms,hIUCNstatus,IUCNmap,Diet,area_sqm,area_sqkm,hMassGrams,PVRST_resid_Mass,cave_status,roosting_behavior,roosting_reference,PubMed_hits,s_PMpublications,PubMedtotal,n_virus_str,n_virus_sera,n_virus_total,prop_virus_str_total,sympatric_species,str_sympatric_species,n_coroosters,sharedhosts,sharedhosts_str
Tadarida_condylura,Mops_condylurus,Mops_condylurus,Mops_condylurus,MOLOSSIDAE,Mops angolensis  |Mops condylurus  |Mops fulva  |Mops occidentalis  |Mops orientis  |Mops osborni  |Mops wonderi,LC,YES,Insectivore,9.18E+12,9178860.513,26.59,0.507287588,facultative,cave_roosting,136,5,8,13,3,5,8,0.375,23,22,NA,32,4
Tadarida_plicata,Chaerephon_plicatus,Chaerephon_plicatus,Chaerephon_plicatus,MOLOSSIDAE,Chaerephon luzonus  |Chaerephon plicata  |Chaerephon plicatus  |Dysopes murinus  |Nyctinomus bengalensis  |Tadarida plicata subspecies insularis|Vespertilio plicatus,LC,YES,Insectivore,2.48E+12,2477230.913,21.83,0.310075878,facultative,cave_roosting,114,0,5,5,2,0,2,1,50,41,2,14,14
Tadarida_teniotis,Tadarida_teniotis,Tadarida_teniotis,Tadarida_teniotis,MOLOSSIDAE,NA,LC,YES,Insectivore,3.90E+12,3904348.474,28.07,0.558724388,facultative,cave_roosting,79,8,0,8,0,1,1,0,49,NA,NA,NA,NA
Mormoops_megalophylla,Mormoops_megalophylla,Mormoops_megalophylla,Mormoops_megalophylla,MORMOOPIDAE,NA,LC,YES,Insectivore,3.76E+12,3758153.621,16.09,-0.227391499,facultative,cave_roosting,"20,29 ",9,0,9,0,3,3,0,81,NA,6,36,0
Pteronotus_davyi,Pteronotus_davyi,Pteronotus_davyi,Pteronotus_davyi,MORMOOPIDAE,Pteronotus davyi subspecies calvus|Pteronotus davyi subspecies fulvus|Pteronotus davyi subspecies incae,LC,YES,Insectivore,3.49E+12,3492894.345,9.52,-0.752196173,facultative,cave_roosting,20,2,0,2,1,6,7,0.142857143,80,52,2,82,60
Pteronotus_parnellii,Pteronotus_parnellii,Pteronotus_parnellii,Pteronotus_parnellii,MORMOOPIDAE,Pteronotus parnellii subspecies fuscus|Pteronotus parnellii subspecies gonavensis|Pteronotus parnellii subspecies mesoamericanus|Pteronotus parnellii subspecies mexicanus|Pteronotus parnellii subspecies portoricensis|Pteronotus parnellii subspecies pusillus|Pteronotus parnellii subspecies rubiginosus,LC,YES,Insectivore,2.02E+11,201571.8078,19.59,-0.03057179,facultative,cave_roosting,"1,17",133,0,133,1,7,8,0.125,10,9,13,47,0
Noctilio_leporinus,Noctilio_leporinus,Noctilio_leporinus,Noctilio_leporinus,NOCTILIONIDAE,,LC,YES,Other,1.47E+13,14713604.25,60.3,1.106594235,facultative,cave_roosting,"20,60",13,0,13,0,1,1,0,82,NA,4,16,0
Nycteris_gambiensis,Nycteris_gambiensis,Nycteris_gambiensis,Nycteris_gambiensis,NYCTERIDAE,NA,LC,YES,Insectivore,1.87E+12,1872555.947,7.13,-1.009341846,facultative,cave_roosting,1,0,0,0,3,0,3,1,17,16,NA,6,6
Nycteris_nana,Nycteris_nana,Nycteris_nana,Nycteris_nana,NYCTERIDAE,NA,LC,YES,Insectivore,2.96E+12,2957305.869,6.98,-1.031756492,facultative,cave_roosting,201,0,0,0,1,0,1,1,22,21,NA,1,1
Nycteris_thebaica,Nycteris_thebaica,Nycteris_thebaica,Nycteris_thebaica,NYCTERIDAE,NA,LC,YES,Insectivore,1.45E+13,14480939.54,9.2,-0.754449597,facultative,cave_roosting,"1,64",7,0,7,1,0,1,1,34,32,6,3,3
Anoura_geoffroyi,Anoura_geoffroyi,Anoura_geoffroyi,Anoura_geoffroyi,PHYLLOSTOMIDAE,NA,LC,YES,Other,8.26E+12,8255784.987,15.15,-0.319848756,facultative,cave_roosting,1,12,0,12,0,8,8,0,83,NA,NA,30,0
Artibeus_fimbriatus,Artibeus_fimbriatus,Artibeus_fimbriatus,Artibeus_fimbriatus,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.49E+12,1486463.305,63.89,1.107080153,facultative,cave_roosting,116,4,0,4,1,0,1,1,49,32,NA,60,60
Artibeus_jamaicensis,Artibeus_jamaicensis,Artibeus_jamaicensis,Artibeus_jamaicensis,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.57E+12,1568702.141,43.63,0.725469185,facultative,cave_roosting,"1,3,20",79,0,79,4,11,15,0.266666667,74,49,12,92,64
Artibeus_lituratus,Artibeus_lituratus,Artibeus_lituratus,Artibeus_lituratus,PHYLLOSTOMIDAE,Artibeus intermedius,LC,YES,Frugivore,1.43E+13,14320981.05,59.3,1.032333503,facultative,cave_roosting,205,70,2,72,3,15,18,0.166666667,82,51,1,85,61
Artibeus_toltecus,Dermanura_tolteca,Dermanura_tolteca,Artibeus_toltecus,PHYLLOSTOMIDAE,Dermanura tolteca,LC,YES,Frugivore,8.54E+11,853779.493,15.47,-0.310413593,facultative,cave_roosting,41,1,0,1,1,1,2,0.5,65,45,NA,16,2
Carollia_brevicauda,Carollia_brevicauda,Carollia_brevicauda,Carollia_brevicauda,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.08E+13,10816989.02,14.85,-0.343260744,facultative,cave_roosting,20,13,0,13,1,2,3,0.333333333,63,38,NA,22,4
Carollia_perspicillata,Carollia_perspicillata,Carollia_perspicillata,Carollia_perspicillata,PHYLLOSTOMIDAE,NA,LC,YES,Other,1.39E+13,13880151.82,19.23,-0.08478905,facultative,cave_roosting,"5,20",140,0,140,2,13,15,0.133333333,78,47,13,86,62
Carollia_subrufa,Carollia_subrufa,Carollia_subrufa,Carollia_subrufa,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,2.14E+11,213512.8336,15.84,-0.278722223,facultative,cave_roosting,1,0,0,0,0,1,1,0,48,NA,1,8,0
Chrotopterus_auritus,Chrotopterus_auritus,Chrotopterus_auritus,Chrotopterus_auritus,PHYLLOSTOMIDAE,NA,LC,YES,Other,1.32E+13,13196166.37,78.26,1.326042038,facultative,cave_roosting,1,4,0,4,1,0,1,1,74,44,3,60,60
Desmodus_rotundus,Desmodus_rotundus,Desmodus_rotundus,Desmodus_rotundus,PHYLLOSTOMIDAE,NA,LC,YES,Other,1.78E+13,17828441.43,33.16,0.473653417,facultative,cave_roosting,"1,4",292,0,292,2,7,9,0.222222222,85,54,14,82,62
Diaemus_youngi,Diaemus_youngi,Diaemus_youngi,Diaemus_youngi,PHYLLOSTOMIDAE,NA,LC,YES,Other,1.31E+13,13137916.96,36.71,0.575358285,facultative,cave_roosting,19,11,0,11,1,0,1,1,80,50,8,60,60
Diphylla_ecaudata,Diphylla_ecaudata,Diphylla_ecaudata,Diphylla_ecaudata,PHYLLOSTOMIDAE,NA,LC,YES,Other,8.14E+12,8141079.454,28.11,0.308812848,facultative,cave_roosting,"1,7",15,0,15,1,0,1,1,84,53,11,60,60
Glossophaga_commissarisi,Glossophaga_commissarisi,Glossophaga_commissarisi,Glossophaga_commissarisi,PHYLLOSTOMIDAE,NA,LC,YES,Other,3.74E+12,3739281.978,9.15,-0.825680613,facultative,cave_roosting,1,7,0,7,0,1,1,0,75,NA,NA,8,0
Glossophaga_longirostris,Glossophaga_longirostris,Glossophaga_longirostris,Glossophaga_longirostris,PHYLLOSTOMIDAE,NA,DD,YES,Frugivore,1.58E+12,1580866.974,13.32,-0.450235329,facultative,cave_roosting,35,4,0,4,0,1,1,0,57,NA,1,21,0
Glossophaga_morenoi,Glossophaga_morenoi,Glossophaga_morenoi,Glossophaga_morenoi,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,3.29E+11,328852.423,8.54,-0.894740986,facultative,cave_roosting,1,0,0,0,0,1,1,0,49,NA,NA,21,0
Glossophaga_soricina,Glossophaga_soricina,Glossophaga_soricina,Glossophaga_soricina,PHYLLOSTOMIDAE,NA,LC,YES,Other,1.49E+13,14948577.34,9.97,-0.739853909,facultative,cave_roosting,8,96,0,96,1,9,10,0.1,85,54,13,55,4
Leptonycteris_curasoae,Leptonycteris_curasoae,Leptonycteris_curasoae,Leptonycteris_curasoae,PHYLLOSTOMIDAE,NA,VU,YES,Frugivore,8.46E+11,846155.4312,25.27,0.190938868,facultative,cave_roosting,10,19,0,19,0,1,1,0,57,NA,11,21,0
Leptonycteris_nivalis,Leptonycteris_nivalis,Leptonycteris_nivalis,Leptonycteris_nivalis,PHYLLOSTOMIDAE,NA,EN,YES,Frugivore,9.55E+11,954548.7028,24.26,0.15014985,facultative,cave_roosting,9,5,0,5,1,0,1,1,55,41,1,60,60
Lonchophylla_robusta,Lonchophylla_robusta,Lonchophylla_robusta,Lonchophylla_robusta,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.12E+12,1123762.017,13.72,-0.417654559,facultative,cave_roosting,116,0,0,0,0,2,2,0,59,NA,NA,8,0
Macrotus_californicus,Macrotus_californicus,Macrotus_californicus,Macrotus_californicus,PHYLLOSTOMIDAE,NA,LC,YES,Insectivore,6.46E+11,645626.5814,11.83,-0.562408575,facultative,cave_roosting,"1,132",15,0,15,1,0,1,1,42,35,NA,60,60
Micronycteris_megalotis,Micronycteris_megalotis,Micronycteris_megalotis,Micronycteris_megalotis,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.22E+13,12169740.73,6.4,-1.176749263,facultative,cave_roosting,12,1,0,1,0,1,1,0,64,NA,13,21,0
Phyllostomus_discolor,Phyllostomus_discolor,Phyllostomus_discolor,Phyllostomus_discolor,PHYLLOSTOMIDAE,NA,LC,YES,Other,1.26E+13,12576086.44,36.7,0.567621317,facultative,cave_roosting,"1,120",63,0,63,0,3,3,0,73,NA,NA,23,0
Phyllostomus_hastatus,Phyllostomus_hastatus,Phyllostomus_hastatus,Phyllostomus_hastatus,PHYLLOSTOMIDAE,NA,LC,YES,Other,1.27E+13,12708435.08,91.44,1.480527581,facultative,cave_roosting,"1,68",41,0,41,2,11,13,0.153846154,68,41,7,78,60
Platyrrhinus_helleri,Platyrrhinus_helleri,Platyrrhinus_helleri,Platyrrhinus_helleri,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.01E+13,10081565.79,13.44,-0.449415631,facultative,cave_roosting,20,2,0,2,0,4,4,0,75,NA,NA,25,0
Platyrrhinus_lineatus,Platyrrhinus_lineatus,Platyrrhinus_lineatus,Platyrrhinus_lineatus,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,5.84E+12,5839645.142,24.34,0.144470121,facultative,cave_roosting,116,15,0,15,1,0,1,1,63,37,1,60,60
Sturnira_lilium,Sturnira_lilium,Sturnira_lilium,Sturnira_lilium,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.54E+13,15378886.13,20.19,-0.039735628,facultative,cave_roosting,"1,73",40,0,40,2,10,12,0.166666667,85,54,1,59,1
Sturnira_ludovici,Sturnira_ludovici,Sturnira_ludovici,Sturnira_ludovici,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.22E+12,1224252.438,21,-0.000468106,facultative,cave_roosting,138,2,0,2,0,1,1,0,57,NA,NA,8,0
Tonatia_bidens,Tonatia_bidens,Tonatia_bidens,Tonatia_bidens,PHYLLOSTOMIDAE,NA,DD,YES,Insectivore,2.01E+12,2005439.987,27.7,0.286320647,facultative,cave_roosting,113,0,0,0,0,1,1,0,50,NA,1,5,0
Cynopterus_brachyotis,Cynopterus_brachyotis,Cynopterus_brachyotis,Cynopterus_brachyotis,PTEROPODIDAE,Cynopterus brachysoma  |Cynopterus marginatus variety andamanensis|Cynopterus marginatus variety ceylonensis|Pachysoma brachyotis,LC,YES,Frugivore,2.72E+12,2715326.71,33.87,-1.489574089,facultative,cave_roosting,18,34,0,34,6,2,8,0.75,47,38,2,85,76
Cynopterus_sphinx,Cynopterus_sphinx,Cynopterus_sphinx,Cynopterus_sphinx,PTEROPODIDAE,Cynopterus angulatus  |Cynopterus brachyotis subspecies angulatus|Cynopterus brachyotis variety scherzeri|Cynopterus marginatus variety ellitoi|Cynopterus sphnx subspecies gangeticus|Pachysoma brevicaudatum  |Pteropus marginatus  |Pteropus pusillus  |Vespertilio fibulatus  |Vespertilio sphinx,LC,YES,Frugivore,6.49E+12,6489257.556,44.71,-1.211906566,facultative,cave_roosting,1,57,0,57,2,6,8,0.25,52,42,NA,35,9
Dobsonia_anderseni,Dobsonia_anderseni,Dobsonia_anderseni,Dobsonia_anderseni,PTEROPODIDAE,NA,LC,YES,Frugivore,46835546540,46835.54654,233.99,0.382046708,facultative,cave_roosting,150,0,0,0,0,1,1,0,10,NA,NA,8,0
