hHostNameFinal,hHostNameIUCN,hHostNameIUCN_spatial,hHostNameST,hFamily,Synonyms,hIUCNstatus,IUCNmap,Diet,area_sqm,area_sqkm,hMassGrams,PVRST_resid_Mass,cave_status,roosting_behavior,roosting_reference,PubMed_hits,s_PMpublications,PubMedtotal,n_virus_str,n_virus_sera,n_virus_total,prop_virus_str_total,sympatric_species,str_sympatric_species,n_coroosters,sharedhosts,sharedhosts_str
Eptesicus_brasiliensis,Eptesicus_brasiliensis,Eptesicus_brasiliensis,Eptesicus_brasiliensis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.32E+13,13198348.45,9.2,-0.072862765,non,non_cave,120,2,0,2,1,0,1,1,79,49,NA,60,60
Eptesicus_diminutus,Eptesicus_diminutus,Eptesicus_diminutus,Eptesicus_diminutus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,2.40E+12,2397137.926,5.99,-0.501974837,non,non_cave,189,1,0,1,1,0,1,1,61,36,NA,60,60
Glauconycteris_argentata,Glauconycteris_argentata,Glauconycteris_argentata,Glauconycteris_argentata,VESPERTILIONIDAE,Chalinolobus argentatus,LC,YES,Insectivore,4.02E+12,4022325.468,9.3,-0.079069722,non,non_cave,96,0,1,1,1,0,1,1,21,21,NA,5,5
Lasiurus_blossevillii,Lasiurus_blossevillii,Lasiurus_blossevillii,Lasiurus_blossevillii,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.84E+13,18443089.11,16.886,0.548161819,non,non_cave,147,3,0,3,1,0,1,1,87,56,NA,60,60
Lasiurus_ega,Lasiurus_ega,Lasiurus_ega,Lasiurus_ega,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.33E+13,13279943.62,12.2,0.221735027,non,non_cave,"1,48",6,0,6,1,0,1,1,81,50,NA,60,60
Lasiurus_egregius,Lasiurus_egregius,Lasiurus_egregius,Lasiurus_egregius,VESPERTILIONIDAE,NA,DD,YES,Insectivore,1.33E+12,1330876.409,17.41,0.57473016,non,non_cave,,0,0,0,0,1,1,0,62,NA,NA,21,0
Lasiurus_intermedius,Lasiurus_intermedius,Lasiurus_intermedius,Lasiurus_intermedius,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.76E+12,1756266.009,22.96,0.852888693,non,non_cave,"1,49",1,0,1,1,0,1,1,65,47,NA,60,60
Lasiurus_seminolus,Lasiurus_seminolus,Lasiurus_seminolus,Lasiurus_seminolus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.20E+12,1196671.751,9.88,0.012137693,non,non_cave,50,1,0,1,1,0,1,1,21,19,NA,60,60
Lasiurus_xanthinus,Lasiurus_xanthinus,Lasiurus_xanthinus,Lasiurus_xanthinus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.74E+12,1744145.14,16.886,0.546783952,non,non_cave,148,0,0,0,1,0,1,1,50,39,NA,60,60
Murina_aurata,Murina_aurata,Murina_aurata,Murina_aurata,VESPERTILIONIDAE,Murina aurita,LC,YES,Insectivore,3.15E+11,314718.1455,4.27,-0.850027626,non,non_cave,193,0,0,0,1,0,1,1,40,33,NA,8,8
Myotis_albescens,Myotis_albescens,Myotis_albescens,Myotis_albescens,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.47E+13,14681592.29,5.69,-0.463616241,non,non_cave,52,4,0,4,0,1,1,0,72,NA,NA,21,0
Myotis_levis,Myotis_levis,Myotis_levis,Myotis_levis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.40E+12,1398282.021,5.49,-0.499398233,non,non_cave,196,3,0,3,0,1,1,0,46,NA,NA,21,0
Myotis_riparius,Myotis_riparius,Myotis_riparius,Myotis_riparius,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.42E+13,14195165.2,4.57,-0.682813284,non,non_cave,199,2,0,2,1,0,1,1,66,39,NA,60,60
Philetor_brachypterus,Philetor_brachypterus,Philetor_brachypterus,Philetor_brachypterus,VESPERTILIONIDAE,Vespertilio brachypterus,LC,YES,Insectivore,1.33E+12,1325800.193,12,0.175822528,non,non_cave,126,0,0,0,0,1,1,0,45,NA,NA,7,0
Rhogeessa_parvula,Rhogeessa_parvula,Rhogeessa_parvula,Rhogeessa_parvula,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.51E+11,451152.8605,4.37,-0.834321113,non,non_cave,,1,0,1,0,1,1,0,49,NA,NA,NA,NA
Scotophilus_nigrita,Scotophilus_nigrita,Scotophilus_nigrita,Scotophilus_nigrita,VESPERTILIONIDAE,Scotophilus nigrita subspecies alvenslebeni,LC,YES,Insectivore,2.21E+12,2211063.68,27.34,1.004548007,non,non_cave,202,0,0,0,1,0,1,1,22,21,NA,3,3
Tylonycteris_pachypus,Tylonycteris_pachypus,Tylonycteris_pachypus,Tylonycteris_pachypus,VESPERTILIONIDAE,Scotophilus fulvidus | Tylonycteris aurex | Tylonycteris rubidus | Vespertilio pachypus ,LC,YES,Insectivore,4.19E+12,4194084.101,4.09,-0.900539152,non,non_cave,111,8,0,8,1,0,1,1,51,40,NA,NA,NA
Vespadelus_pumilus,Vespadelus_pumilus,Vespadelus_pumilus,Vespadelus_pumilus,VESPERTILIONIDAE,Eptesicus pumilus,LC,YES,Insectivore,1.49E+11,149271.5156,5.4,-0.622685168,non,non_cave,110,0,0,0,0,1,1,0,9,NA,NA,2,0
Taphozous_theobaldi,Taphozous_theobaldi,Taphozous_theobaldi,Taphozous_theobaldi,EMBALLONURIDAE,NA,LC,YES,Insectivore,1.05E+12,1047949.041,36.83,0.480504743,obligate,cave_roosting,"1,40",0,0,0,1,0,1,1,49,39,2,2,2
Hipposideros_pratti,Hipposideros_pratti,Hipposideros_pratti,Hipposideros_pratti,HIPPOSIDERIDAE,,LC,YES,Insectivore,2.25E+12,2251718.744,NA,NA,obligate,cave_roosting,124,4,0,4,1,0,1,1,39,33,1,2,2
Miniopterus_magnater,Miniopterus_magnater,Miniopterus_magnater,Miniopterus_magnater,MINIOPTERIDAE,,LC,NO,Insectivore,NA,NA,NA,NA,obligate,cave_roosting,"1,168",6,0,6,2,0,2,1,NA,NA,1,4,4
Natalus_stramineus,Natalus_stramineus,Natalus_stramineus,Natalus_stramineus,NATALIDAE,NA,LC,YES,Insectivore,4083149215,4083.149215,5.68,-1.232233629,obligate,cave_roosting,"1,16",4,0,4,1,0,1,1,7,6,15,4,4
Natalus_tumidirostris,Natalus_tumidirostris,Natalus_tumidirostris,Natalus_tumidirostris,NATALIDAE,Natalus continentis  |Natalus haymani,LC,YES,Insectivore,1.40E+12,1399896.488,6.3,-1.128635229,obligate,cave_roosting,"1,121",1,0,1,0,5,5,0,57,NA,1,25,0
Eonycteris_spelaea,Eonycteris_spelaea,Eonycteris_spelaea,Eonycteris_spelaea,PTEROPODIDAE,Eonycteris bernsteini  |Eonycteris spelaea subspecies glandifera|Eonycteris spelaea subspecies rosenbergii|Eonycteris spelaea subspecies winnyae|Macroglossus spelaeus,LC,YES,Frugivore,3.55E+12,3546184.365,58.7,-0.953464107,obligate,cave_roosting,1,14,0,14,4,4,8,0.5,50,39,9,31,20
Rhinolophus_affinis,Rhinolophus_affinis,Rhinolophus_affinis,Rhinolophus_affinis,RHINOLOPHIDAE,Rhinolophus andamanensis,LC,YES,Insectivore,5.53E+12,5534663.906,13.7,0.304488785,obligate,cave_roosting,1,11,0,11,1,2,3,0.333333333,52,42,6,20,8
Rhinolophus_coelophyllus,Rhinolophus_coelophyllus,Rhinolophus_coelophyllus,Rhinolophus_coelophyllus,RHINOLOPHIDAE,,LC,YES,Insectivore,4.28E+11,428485.9872,7.07,-0.357046568,obligate,cave_roosting,142,0,0,0,1,0,1,1,32,28,NA,4,4
Rhinolophus_pearsonii,Rhinolophus_pearsonii,Rhinolophus_pearsonii,Rhinolophus_pearsonii,RHINOLOPHIDAE,Rhinolophus pearsoni,LC,YES,Insectivore,3.19E+12,3191107.494,11.55,0.133778389,obligate,cave_roosting,"1,126",0,0,0,2,0,2,1,50,40,NA,7,7
Ia_io,Ia_io,Ia_io,Ia_io,VESPERTILIONIDAE,,LC,YES,Insectivore,1.51E+12,1512964.204,49.3,1.588839959,obligate,cave_roosting,"1,104",3,0,3,1,0,1,1,45,39,1,1,1
Myotis_pilosus,Myotis_pilosus,Myotis_pilosus,Myotis_ricketti,VESPERTILIONIDAE,Myotis pilosus  | Myotis ricketti,NT,YES,Insectivore,9.92E+11,991514.0309,9.1935,0.016170224,obligate,cave_roosting,"197,198",1,13,14,1,3,4,0.25,36,31,10,21,4
